Zip Code,Demographic,Percent,Year,BOROUGH
10025,Hispanic,23.6,2019,MANHATTAN
10026,Male,46.6,2017,MANHATTAN
10026,Female,53.4,2017,MANHATTAN
10026,White,29.2,2017,MANHATTAN
10026,Black,55.3,2017,MANHATTAN
10026,Asian,6.6,2017,MANHATTAN
10026,Hispanic,21.7,2017,MANHATTAN
10026,Male,46.0,2018,MANHATTAN
10026,Female,54.0,2018,MANHATTAN
10026,White,28.7,2018,MANHATTAN
10026,Black,56.5,2018,MANHATTAN
10026,Asian,7.0,2018,MANHATTAN
10026,Hispanic,21.3,2018,MANHATTAN
10026,Male,47.0,2019,MANHATTAN
10026,Female,53.0,2019,MANHATTAN
10026,White,30.6,2019,MANHATTAN
10026,Black,54.2,2019,MANHATTAN
10026,Asian,7.7,2019,MANHATTAN
10026,Hispanic,21.5,2019,MANHATTAN
10027,Male,46.4,2017,MANHATTAN
10027,Female,53.6,2017,MANHATTAN
10027,White,34.0,2017,MANHATTAN
10027,Black,42.1,2017,MANHATTAN
10027,Asian,10.9,2017,MANHATTAN
10027,Hispanic,24.1,2017,MANHATTAN
10027,Male,46.2,2018,MANHATTAN
10027,Female,53.8,2018,MANHATTAN
10027,White,33.4,2018,MANHATTAN
10027,Black,41.8,2018,MANHATTAN
10027,Asian,11.0,2018,MANHATTAN
10027,Hispanic,25.4,2018,MANHATTAN
10027,Male,45.8,2019,MANHATTAN
10027,Female,54.2,2019,MANHATTAN
10027,White,35.2,2019,MANHATTAN
10027,Black,40.2,2019,MANHATTAN
10027,Asian,11.3,2019,MANHATTAN
10027,Hispanic,26.3,2019,MANHATTAN
10028,Male,42.6,2017,MANHATTAN
10028,Female,57.4,2017,MANHATTAN
10028,White,88.7,2017,MANHATTAN
10028,Black,2.0,2017,MANHATTAN
10028,Asian,10.4,2017,MANHATTAN
10028,Hispanic,6.6,2017,MANHATTAN
10028,Male,42.9,2018,MANHATTAN
10028,Female,57.1,2018,MANHATTAN
10028,White,88.0,2018,MANHATTAN
10028,Black,1.8,2018,MANHATTAN
10028,Asian,10.8,2018,MANHATTAN
10028,Hispanic,7.4,2018,MANHATTAN
10028,Male,42.8,2019,MANHATTAN
10028,Female,57.2,2019,MANHATTAN
10028,White,87.5,2019,MANHATTAN
10028,Black,2.1,2019,MANHATTAN
10028,Asian,10.9,2019,MANHATTAN
10028,Hispanic,6.9,2019,MANHATTAN
10029,Male,45.6,2017,MANHATTAN
10029,Female,54.4,2017,MANHATTAN
10029,White,35.0,2017,MANHATTAN
10029,Black,31.9,2017,MANHATTAN
10029,Asian,10.4,2017,MANHATTAN
10029,Hispanic,47.7,2017,MANHATTAN
10029,Male,45.7,2018,MANHATTAN
10029,Female,54.3,2018,MANHATTAN
10029,White,35.6,2018,MANHATTAN
10029,Black,32.3,2018,MANHATTAN
10029,Asian,10.3,2018,MANHATTAN
10029,Hispanic,47.9,2018,MANHATTAN
10029,Male,45.7,2019,MANHATTAN
10029,Female,54.3,2019,MANHATTAN
10029,White,36.8,2019,MANHATTAN
10029,Black,34.2,2019,MANHATTAN
10029,Asian,10.0,2019,MANHATTAN
10029,Hispanic,46.6,2019,MANHATTAN
10030,Male,46.3,2017,MANHATTAN
10030,Female,53.7,2017,MANHATTAN
10030,White,19.8,2017,MANHATTAN
10030,Black,70.1,2017,MANHATTAN
10030,Asian,3.2,2017,MANHATTAN
10030,Hispanic,25.5,2017,MANHATTAN
10030,Male,44.3,2018,MANHATTAN
10030,Female,55.7,2018,MANHATTAN
10030,White,20.8,2018,MANHATTAN
10030,Black,67.4,2018,MANHATTAN
10030,Asian,2.5,2018,MANHATTAN
10030,Hispanic,25.6,2018,MANHATTAN
10030,Male,43.6,2019,MANHATTAN
10030,Female,56.4,2019,MANHATTAN
10030,White,20.1,2019,MANHATTAN
10030,Black,66.0,2019,MANHATTAN
10030,Asian,2.8,2019,MANHATTAN
10030,Hispanic,26.8,2019,MANHATTAN
10031,Male,51.2,2017,MANHATTAN
10031,Female,48.8,2017,MANHATTAN
10031,White,46.7,2017,MANHATTAN
10031,Black,44.2,2017,MANHATTAN
10031,Asian,5.7,2017,MANHATTAN
10031,Hispanic,50.7,2017,MANHATTAN
10031,Male,50.7,2018,MANHATTAN
10031,Female,49.3,2018,MANHATTAN
10031,White,44.9,2018,MANHATTAN
10031,Black,44.0,2018,MANHATTAN
10031,Asian,5.5,2018,MANHATTAN
10031,Hispanic,51.4,2018,MANHATTAN
10031,Male,50.4,2019,MANHATTAN
10031,Female,49.6,2019,MANHATTAN
10031,White,46.1,2019,MANHATTAN
10031,Black,41.7,2019,MANHATTAN
10031,Asian,5.5,2019,MANHATTAN
10031,Hispanic,51.2,2019,MANHATTAN
10032,Male,49.3,2017,MANHATTAN
10032,Female,50.7,2017,MANHATTAN
10032,White,36.4,2017,MANHATTAN
10032,Black,23.5,2017,MANHATTAN
10032,Asian,5.2,2017,MANHATTAN
10032,Hispanic,66.5,2017,MANHATTAN
10032,Male,50.0,2018,MANHATTAN
10032,Female,50.0,2018,MANHATTAN
10032,White,35.1,2018,MANHATTAN
10032,Black,22.5,2018,MANHATTAN
10032,Asian,5.6,2018,MANHATTAN
10032,Hispanic,66.3,2018,MANHATTAN
10032,Male,49.9,2019,MANHATTAN
10032,Female,50.1,2019,MANHATTAN
10032,White,32.9,2019,MANHATTAN
10032,Black,21.9,2019,MANHATTAN
10032,Asian,5.6,2019,MANHATTAN
10032,Hispanic,66.9,2019,MANHATTAN
10033,Male,50.5,2017,MANHATTAN
10033,Female,49.5,2017,MANHATTAN
10033,White,46.6,2017,MANHATTAN
10033,Black,13.9,2017,MANHATTAN
10033,Asian,2.6,2017,MANHATTAN
10033,Hispanic,68.8,2017,MANHATTAN
10033,Male,50.7,2018,MANHATTAN
10033,Female,49.3,2018,MANHATTAN
10033,White,45.5,2018,MANHATTAN
10033,Black,14.5,2018,MANHATTAN
10033,Asian,3.3,2018,MANHATTAN
10033,Hispanic,68.5,2018,MANHATTAN
10033,Male,49.8,2019,MANHATTAN
10033,Female,50.2,2019,MANHATTAN
10033,White,46.1,2019,MANHATTAN
10033,Black,14.1,2019,MANHATTAN
10033,Asian,3.7,2019,MANHATTAN
10033,Hispanic,67.1,2019,MANHATTAN
10034,Male,47.3,2017,MANHATTAN
10034,Female,52.7,2017,MANHATTAN
10034,White,41.1,2017,MANHATTAN
10034,Black,13.6,2017,MANHATTAN
10034,Asian,3.2,2017,MANHATTAN
10034,Hispanic,72.4,2017,MANHATTAN
10034,Male,47.5,2018,MANHATTAN
10034,Female,52.5,2018,MANHATTAN
10034,White,42.1,2018,MANHATTAN
10034,Black,14.0,2018,MANHATTAN
10034,Asian,4.1,2018,MANHATTAN
10034,Hispanic,69.7,2018,MANHATTAN
10034,Male,46.2,2019,MANHATTAN
10034,Female,53.8,2019,MANHATTAN
10034,White,42.8,2019,MANHATTAN
10034,Black,16.1,2019,MANHATTAN
10034,Asian,4.1,2019,MANHATTAN
10034,Hispanic,69.2,2019,MANHATTAN
10035,Male,49.2,2017,MANHATTAN
10035,Female,50.8,2017,MANHATTAN
10035,White,24.0,2017,MANHATTAN
10035,Black,42.5,2017,MANHATTAN
10035,Asian,6.4,2017,MANHATTAN
10035,Hispanic,47.2,2017,MANHATTAN
10035,Male,49.5,2018,MANHATTAN
10035,Female,50.5,2018,MANHATTAN
10035,White,23.3,2018,MANHATTAN
10035,Black,43.7,2018,MANHATTAN
10035,Asian,6.4,2018,MANHATTAN
10035,Hispanic,44.6,2018,MANHATTAN
10035,Male,50.2,2019,MANHATTAN
10035,Female,49.8,2019,MANHATTAN
10035,White,23.1,2019,MANHATTAN
10035,Black,42.9,2019,MANHATTAN
10035,Asian,5.0,2019,MANHATTAN
10035,Hispanic,45.6,2019,MANHATTAN
10036,Male,57.1,2017,MANHATTAN
10036,Female,42.9,2017,MANHATTAN
10036,White,66.4,2017,MANHATTAN
10036,Black,8.6,2017,MANHATTAN
10036,Asian,19.7,2017,MANHATTAN
10036,Hispanic,19.6,2017,MANHATTAN
10036,Male,54.4,2018,MANHATTAN
10036,Female,45.6,2018,MANHATTAN
10036,White,65.4,2018,MANHATTAN
10036,Black,8.5,2018,MANHATTAN
10036,Asian,20.1,2018,MANHATTAN
10036,Hispanic,21.5,2018,MANHATTAN
10036,Male,55.1,2019,MANHATTAN
10036,Female,44.9,2019,MANHATTAN
10036,White,66.6,2019,MANHATTAN
10036,Black,9.8,2019,MANHATTAN
10036,Asian,19.3,2019,MANHATTAN
10036,Hispanic,21.6,2019,MANHATTAN
10037,Male,43.4,2017,MANHATTAN
10037,Female,56.6,2017,MANHATTAN
10037,White,13.4,2017,MANHATTAN
10037,Black,76.8,2017,MANHATTAN
10037,Asian,3.8,2017,MANHATTAN
10037,Hispanic,23.5,2017,MANHATTAN
10037,Male,44.5,2018,MANHATTAN
10037,Female,55.5,2018,MANHATTAN
10037,White,13.9,2018,MANHATTAN
