BOROUGH,Zip Code,MonthYear,Evictions
BRONX,10468,2018-07,30
BRONX,10468,2018-08,36
BRONX,10468,2018-09,25
BRONX,10468,2018-10,24
BRONX,10468,2018-11,22
BRONX,10468,2018-12,25
BRONX,10468,2019-01,22
BRONX,10468,2019-02,23
BRONX,10468,2019-03,23
BRONX,10468,2019-04,29
BRONX,10468,2019-05,28
BRONX,10468,2019-06,20
BRONX,10468,2019-07,24
BRONX,10468,2019-08,21
BRONX,10468,2019-09,19
BRONX,10468,2019-10,22
BRONX,10468,2019-11,19
BRONX,10468,2019-12,18
BRONX,10469,2017-01,28
BRONX,10469,2017-02,11
BRONX,10469,2017-03,22
BRONX,10469,2017-04,16
BRONX,10469,2017-05,18
BRONX,10469,2017-06,14
BRONX,10469,2017-07,24
BRONX,10469,2017-08,19
BRONX,10469,2017-09,14
BRONX,10469,2017-10,17
BRONX,10469,2017-11,13
BRONX,10469,2017-12,11
BRONX,10469,2018-01,15
BRONX,10469,2018-02,13
BRONX,10469,2018-03,21
BRONX,10469,2018-04,16
BRONX,10469,2018-05,25
BRONX,10469,2018-06,11
BRONX,10469,2018-07,6
BRONX,10469,2018-08,13
BRONX,10469,2018-09,15
BRONX,10469,2018-10,12
BRONX,10469,2018-11,15
BRONX,10469,2018-12,11
BRONX,10469,2019-01,19
BRONX,10469,2019-02,17
BRONX,10469,2019-03,16
BRONX,10469,2019-04,20
BRONX,10469,2019-05,12
BRONX,10469,2019-06,10
BRONX,10469,2019-07,15
BRONX,10469,2019-08,19
BRONX,10469,2019-09,19
BRONX,10469,2019-10,12
BRONX,10469,2019-11,16
BRONX,10469,2019-12,27
BRONX,10470,2017-01,7
BRONX,10470,2017-02,6
BRONX,10470,2017-03,5
BRONX,10470,2017-04,6
BRONX,10470,2017-05,9
BRONX,10470,2017-06,3
BRONX,10470,2017-07,1
BRONX,10470,2017-08,10
BRONX,10470,2017-09,9
BRONX,10470,2017-10,7
BRONX,10470,2017-11,14
BRONX,10470,2017-12,9
BRONX,10470,2018-01,11
BRONX,10470,2018-02,8
BRONX,10470,2018-03,4
BRONX,10470,2018-04,4
BRONX,10470,2018-05,5
BRONX,10470,2018-06,10
BRONX,10470,2018-07,3
BRONX,10470,2018-08,2
BRONX,10470,2018-09,9
BRONX,10470,2018-10,4
BRONX,10470,2018-11,6
BRONX,10470,2018-12,8
BRONX,10470,2019-01,10
BRONX,10470,2019-02,10
BRONX,10470,2019-03,9
BRONX,10470,2019-04,7
BRONX,10470,2019-05,4
BRONX,10470,2019-06,5
BRONX,10470,2019-07,6
BRONX,10470,2019-08,8
BRONX,10470,2019-09,2
BRONX,10470,2019-10,6
BRONX,10470,2019-11,6
BRONX,10470,2019-12,4
BRONX,10471,2017-01,2
BRONX,10471,2017-02,1
BRONX,10471,2017-03,4
BRONX,10471,2017-04,6
BRONX,10471,2017-05,5
BRONX,10471,2017-06,4
BRONX,10471,2017-07,3
BRONX,10471,2017-08,4
BRONX,10471,2017-09,4
BRONX,10471,2017-10,4
BRONX,10471,2017-11,7
BRONX,10471,2017-12,3
BRONX,10471,2018-01,4
BRONX,10471,2018-02,5
BRONX,10471,2018-03,4
BRONX,10471,2018-04,7
BRONX,10471,2018-05,5
BRONX,10471,2018-06,2
BRONX,10471,2018-07,2
BRONX,10471,2018-08,2
BRONX,10471,2018-09,1
BRONX,10471,2018-10,1
BRONX,10471,2018-11,5
BRONX,10471,2018-12,1
BRONX,10471,2019-01,3
BRONX,10471,2019-02,1
BRONX,10471,2019-03,3
BRONX,10471,2019-04,6
BRONX,10471,2019-05,1
BRONX,10471,2019-06,1
BRONX,10471,2019-07,5
BRONX,10471,2019-08,1
BRONX,10471,2019-09,2
BRONX,10471,2019-10,4
BRONX,10471,2019-11,7
BRONX,10472,2017-01,30
BRONX,10472,2017-02,34
BRONX,10472,2017-03,29
BRONX,10472,2017-04,24
BRONX,10472,2017-05,28
BRONX,10472,2017-06,26
BRONX,10472,2017-07,27
BRONX,10472,2017-08,23
BRONX,10472,2017-09,36
BRONX,10472,2017-10,26
BRONX,10472,2017-11,27
BRONX,10472,2017-12,19
BRONX,10472,2018-01,48
BRONX,10472,2018-02,28
BRONX,10472,2018-03,20
BRONX,10472,2018-04,25
